Organization Name,Accreditation Type,Location,Dog Type,Veteran Specific,Website,Program Page,What They Offer,Why It Matters for AAAI,Confidence Level
"Canine Companions",ADI,"National (CA, FL, NY, OH, TX)",Service (mobility/PTSD/hearing/facility),Yes,https://canine.org,https://canine.org/service-dogs/,"45+ tasks per dog. Veterans Initiative program. All services free.",Largest/oldest ADI program. National reach. Gold standard.,VERIFIED
"K9s For Warriors",ADI,"Ponte Vedra, FL",Service (PTSD/TBI/MST),Yes,https://k9sforwarriors.org,https://k9sforwarriors.org/warrior-service-dog-program/,"Nation's largest vet PTSD provider. 21-day residential. 1,100+ vets served. NIH clinical trial.",#1 veteran PTSD org. Proven clinical outcomes.,VERIFIED
"NEADS World Class Service Dogs",ADI (charter),"Princeton, MA",Service (PTSD/physical/hearing/autism),Yes,https://neads.org,https://neads.org/service-dog-programs/service-dogs-for-veterans/,"Charter ADI member. Walter Reed partnership. TAD program. 100+ vet placements. Free.",Charter ADI = highest credibility. Walter Reed validates clinical approach.,VERIFIED
"Patriot PAWS Service Dogs",ADI,"Rockwall, TX",Service (PTSD/TBI/mobility),Yes,https://patriotpaws.org,https://patriotpaws.org/about/,"18-24mo training. 500+ dogs placed. Free vet care + monthly check-ins. Prison training partnership.",Texas-based. Strong veteran focus. Proven volume.,VERIFIED
"Warrior Canine Connection",ADI,"Boyds, MD",Service (PTSD/TBI/combat),Yes,https://warriorcanineconnection.org,https://warriorcanineconnection.org/service-dogs/,"Mission Based Trauma Recovery. Veterans train dogs as therapy. Founder on ADI board.",Unique therapeutic model. Veterans are both trainers and recipients.,VERIFIED
"Canines for Service",ADI,"Wilmington, NC",Service (PTSD/MST/TBI/mobility),Yes,https://www.caninesforservice.org,https://www.caninesforservice.org,"NC's longest-running ADI provider (since 1996). Custom-trained per veteran. All free.",28+ year track record. 1 of ~91 accredited in North America.,VERIFIED
"Mutts With A Mission",ADI,"Virginia Beach, VA",Service (PTSD/MST/TBI/mobility),Yes,https://www.muttswithamission.org,https://www.muttswithamission.org/veterans,"1 of 4 ADI orgs in VA. Re-accredited 2024. VA-qualifying. Free.",Strong VA benefits pathway. Current re-accreditation.,VERIFIED
"Dog Tag Buddies",ADI,"Montana (statewide)",Service (PTSD/TBI/MST),Yes,https://dogtagbuddies.org,https://dogtagbuddies.org,"Only ADI org in Montana. Veterans train with rescue puppies. 7 regional locations. Free.",Fills major geographic gap. Only ADI in MT.,VERIFIED
"The Dog Alliance",ADI,"Cedar Park, TX",Service (PTSD/MST/TBI/mobility/autism),Yes,https://thedogalliance.org,https://thedogalliance.org/service-dog-training/,"18-22mo training. 1 of <150 ADI orgs worldwide. Free to TX veterans.",Texas coverage. Multi-population service.,VERIFIED
"Service Dogs of Virginia",ADI,"Charlottesville, VA",Service (PTSD/mobility/psychiatric),Yes,https://www.servicedogsva.org,https://www.servicedogsva.org/ptsd,"ADI-accredited. Anti-guarding training philosophy for PTSD dogs.",Clinically important anti-guarding approach for PTSD.,VERIFIED
"PAVE (Paws Assisting Veterans)",ADI,National,Service (PTSD/physical),Yes,https://www.paveusa.org,https://www.paveusa.org/service-dogs-for-veterans/,"No service-date restrictions. Customized training. Lifetime support.",Broader veteran eligibility than most programs.,VERIFIED
